
,customer_id,age,gender,city,education,income,orders,total_spent,category,payment,discount,rating,website_visits,support_calls,last_purchase,membership,churn,spending_per_order,age_group,purchase_year,purchase_month
0,C197414,30.0,male,Hyderabad,Bachelor,44227.0,8.0,32936.78,Sports,Credit Card,9.2,3.9,13,1,2024-09-14,Basic,Yes,4117.0975,adult,2024,9
1,C109139,23.0,female,Hyderabad,Diploma,52613.0,2.0,6927.52,Sports,Wallet,3.4,1.2,19,1,2025-05-12,Gold,No,3463.76,young,2025,5
2,C189079,25.0,female,Hyderabad,Bachelor,67687.0,10.0,29909.62,Clothing,Net Banking,8.2,3.6,19,2,2024-01-14,Silver,No,2990.962,adult,2024,1
3,C142333,35.0,male,Mohali,Master,35938.0,7.0,33526.08,Books,Credit Card,20.4,5.0,18,5,2026-07-04,Gold,No,4789.4400000000005,adult,2026,7
4,C136833,42.0,female,Mohali,Bachelor,81094.0,8.0,20996.31,Sports,Debit Card,19.2,4.2,17,1,2026-02-02,Basic,No,2624.53875,middle_aged,2026,2
5,C113689,45.0,female,Hyderabad,Master,50113.0,6.0,16304.2,Electronics,Wallet,8.8,3.0,16,1,2025-11-26,Basic,No,2717.366666666667,middle_aged,2025,11
6,C124156,48.0,female,Mumbai,Master,49158.0,10.0,36045.75,Electronics,Wallet,15.2,2.5,22,2,2024-02-25,Silver,Yes,3604.575,middle_aged,2024,2
7,C151251,35.0,male,Mohali,Master,35544.0,5.0,4161.61,Clothing,Cash,17.7,3.4,12,5,2026-05-20,None,Yes,832.3219999999999,adult,2026,5
8,C102443,23.0,female,Delhi,Diploma,47989.0,5.0,13345.89,Books,Upi,1.1,5.0,17,1,2025-09-04,Gold,No,2669.178,young,2025,9
9,C181195,27.0,female,Mohali,Bachelor,25001.0,5.0,1752.37,Home,Wallet,17.4,4.0,20,1,2024-06-16,Basic,No,350.474,adult,2024,6
10,C121063,46.0,female,Kolkata,Bachelor,8000.0,9.0,9701.23,Books,Cash,10.1,3.2,27,2,2025-04-19,Silver,No,1077.9144444444444,middle_aged,2025,4
11,C100656,38.0,male,Bangalore,Diploma,79193.0,3.0,6913.97,Beauty,Upi,10.7,4.2,23,3,2026-03-07,Silver,No,2304.6566666666668,adult,2026,3
12,C157844,42.0,male,Chandigarh,Master,62030.0,7.0,20743.92,Electronics,Net Banking,17.3,3.9,18,3,2025-10-09,Gold,No,2963.4171428571426,middle_aged,2025,10
13,C156508,54.0,female,Delhi,Bachelor,45415.0,11.0,22898.57,Beauty,Net Banking,26.9,5.0,17,1,2026-01-23,Silver,No,2081.688181818182,middle_aged,2026,1
14,C172297,27.0,other,Bangalore,Bachelor,47280.0,9.0,15411.26,Grocery,Upi,8.4,3.0,21,3,2024-02-03,Basic,No,1712.3622222222223,adult,2024,2
15,C126065,30.0,female,Pune,Bachelor,26070.0,7.0,15162.17,Home,Net Banking,10.0,2.5,21,2,2026-04-13,Basic,No,2166.0242857142857,adult,2026,4
16,C114668,38.0,male,Kolkata,Bachelor,50000.0,8.0,9361.81,Sports,Upi,17.3,4.2,17,3,2025-09-26,Gold,No,1170.22625,adult,2025,9
17,C155602,39.0,other,Chennai,High School,10264.0,6.0,5249.62,Home,Cash,23.9,4.6,12,1,2024-09-30,Basic,Yes,874.9366666666666,adult,2024,9
18,C186257,65.0,male,Kolkata,Bachelor,40177.0,6.0,13967.89,Clothing,Cash,7.8,4.5,16,3,2026-05-22,Gold,No,2327.9816666666666,middle_aged,2026,5
19,C129274,34.0,male,Chandigarh,Bachelor,0.0,9.0,27616.14,Sports,Net Banking,10.7,5.0,11,3,2024-12-28,Basic,Yes,3068.46,adult,2024,12
20,C185058,38.0,female,Pune,Bachelor,94579.0,5.0,9671.5,Sports,Wallet,15.4,4.3,18,2,2025-03-09,Basic,No,1934.3,adult,2025,3
21,C169992,34.0,female,Mumbai,Bachelor,73970.0,2.0,3937.86,Grocery,unknown,15.7,5.0,22,1,2026-05-21,Basic,Yes,1968.93,adult,2026,5
22,C187550,23.0,male,Chennai,Diploma,81052.0,14.0,22476.86,Clothing,Credit Card,16.9,2.1,15,0,2026-05-22,Platinum,No,1605.49,young,2026,5
23,C126281,35.0,female,Chandigarh,High School,21951.0,4.0,8707.27,Grocery,Upi,19.0,3.8,14,2,2026-05-03,Silver,No,2176.8175,adult,2026,5
24,C184741,29.0,male,Mumbai,Bachelor,67665.0,8.0,19092.02,Grocery,Debit Card,3.3,3.6,22,4,2024-10-24,Silver,No,2386.5025,adult,2024,10
25,C110217,34.0,female,Kolkata,Master,62360.0,9.0,0.0,Electronics,Wallet,9.8,4.8,20,2,2025-06-17,Basic,No,0.0,adult,2025,6
26,C117716,43.0,female,Bangalore,Bachelor,47560.0,14.0,45022.105,Clothing,Wallet,11.7,5.0,24,1,2025-09-08,Basic,No,3215.8646428571433,middle_aged,2025,9
27,C139433,20.0,female,Pune,Bachelor,8000.0,4.0,3646.82,Home,Wallet,7.7,3.9,14,2,2025-11-18,Silver,No,911.705,young,2025,11
28,C133309,29.0,female,Chennai,Diploma,29879.0,7.0,20853.48,Books,Cash,12.7,3.0,21,2,2024-05-20,Basic,Yes,2979.0685714285714,adult,2024,5
29,C106665,26.0,male,Chandigarh,Bachelor,69727.0,10.0,29959.43,Home,Net Banking,17.8,4.5,25,2,2025-09-10,Basic,No,2995.943,adult,2025,9
30,C179345,32.0,male,Pune,Bachelor,21103.0,4.0,15015.09,Grocery,Upi,2.2,3.8,22,3,2025-01-27,Silver,No,3753.7725,adult,2025,1
31,C167246,40.0,male,Chandigarh,Diploma,86377.0,6.0,21132.74,Sports,Debit Card,10.3,2.9,22,1,2024-05-31,Basic,No,3522.1233333333334,middle_aged,2024,5
32,C107292,25.0,male,Pune,Bachelor,47601.0,10.0,22570.73,Clothing,Debit Card,14.6,5.0,7,4,2026-06-22,Basic,No,2257.073,adult,2026,6
33,C129178,24.0,female,panipat,Diploma,46747.0,10.0,23661.11,Home,Cash,12.5,3.2,12,2,2025-09-10,Gold,No,2366.111,young,2025,9
34,C165798,27.0,male,Bangalore,Bachelor,68761.0,6.0,15362.84,Electronics,Credit Card,17.2,3.6856145474913977,12,3,2024-09-06,Platinum,No,2560.4733333333334,adult,2024,9
35,C185034,40.0,female,Chennai,High School,22146.0,13.0,10878.6,Grocery,Cash,13.1,4.9,13,2,2025-12-28,Basic,No,836.8153846153847,middle_aged,2025,12
36,C133200,31.0,male,Hyderabad,Bachelor,16765.0,6.0,13575.55,Books,Net Banking,7.2,3.6,17,1,2025-12-28,Basic,No,2262.5916666666667,adult,2025,12
37,C144475,52.0,male,Chandigarh,Bachelor,42676.0,7.0,16142.46,Grocery,Debit Card,16.9,4.2,19,2,2026-02-02,Gold,No,2306.065714285714,middle_aged,2026,2
38,C193653,19.0,male,Bangalore,Bachelor,45774.0,2.0,1229.89,Sports,Debit Card,16.9,4.4,18,2,2024-08-23,Silver,No,614.945,young,2024,8
39,C191781,51.0,female,Delhi,Bachelor,59396.0,5.0,12797.75,Electronics,Credit Card,3.8,3.1,20,1,2024-08-27,Gold,No,2559.55,middle_aged,2024,8
40,C169895,48.0,male,Kolkata,Bachelor,47000.0,7.0,18898.28,Clothing,Upi,21.1,2.0,22,3,2024-05-26,Platinum,No,2699.7542857142857,middle_aged,2024,5
41,C138443,40.0,female,Mohali,Diploma,48255.0,3.0,11602.44,Clothing,Upi,2.3,3.6856145474913977,19,2,2025-01-01,Basic,No,3867.48,middle_aged,2025,1
42,C105938,42.0,female,Kolkata,Bachelor,62495.0,7.0,19202.21,Books,Wallet,4.9,4.0,18,0,2024-06-20,Basic,No,2743.172857142857,middle_aged,2024,6
43,C117156,27.0,male,Chennai,Master,51980.0,10.0,21954.95,Electronics,Upi,11.0,3.6,19,0,2026-02-20,Basic,No,2195.495,adult,2026,2
44,C134828,24.0,male,Jaipur,Master,67775.0,12.0,16978.66,Clothing,Net Banking,12.0,3.8,20,2,2025-02-09,Basic,No,1414.8883333333333,young,2025,2
45,C120921,35.0,female,Delhi,Master,23911.0,8.0,16242.19,Beauty,Credit Card,20.7,5.0,21,2,2025-11-04,Silver,No,2030.27375,adult,2025,11
46,C160945,19.0,female,Pune,Bachelor,60183.0,7.0,22629.37,Home,Debit Card,11.9,3.1,13,3,2025-06-17,Platinum,No,3232.7671428571425,young,2025,6
47,C127459,21.0,male,panipat,Bachelor,38926.0,5.0,5886.06,Books,Net Banking,14.8,3.6,17,0,2024-09-02,Basic,No,1177.212,young,2024,9
48,C166279,36.0,other,Jaipur,Bachelor,38588.0,9.0,16328.2,Books,Cash,22.7,3.4,20,0,2024-03-29,Basic,No,1814.2444444444445,adult,2024,3
49,C166955,20.0,male,Mohali,Diploma,45918.0,12.0,23012.88,Electronics,Credit Card,6.5,2.2,11,0,2024-02-22,Basic,No,1917.74,young,2024,2
50,C151302,18.0,female,Mumbai,Master,28072.0,13.0,39631.5,Sports,Debit Card,13.1,3.0,24,2,2024-07-31,Basic,No,3048.576923076923,young,2024,7
51,C132083,39.0,male,Pune,Diploma,76168.0,13.0,33766.96,Beauty,Cash,9.4,3.1,17,3,2024-07-28,Basic,No,2597.4584615384615,adult,2024,7
52,C143818,31.0,male,Pune,Master,8000.0,10.0,32840.18,Books,Debit Card,14.8,4.6,16,1,2024-07-31,Silver,No,3284.018,adult,2024,7
53,C180411,31.0,male,Hyderabad,Bachelor,46155.0,14.0,26896.56,Books,Credit Card,12.0,2.4,17,1,2024-06-06,Gold,No,1921.1828571428573,adult,2024,6
54,C122272,27.0,male,Mumbai,High School,68355.0,11.0,27044.11,Home,Upi,10.8,3.2,17,1,2025-08-28,Gold,No,2458.5554545454547,adult,2025,8
55,C166155,51.0,other,panipat,Diploma,59950.0,12.0,31384.61,not_specified,Credit Card,2.4,3.1,15,2,2024-03-12,Basic,No,2615.3841666666667,middle_aged,2024,3
56,C192230,36.0,male,Chennai,Bachelor,55547.0,10.0,18497.56,Grocery,Credit Card,5.8,4.3,19,2,2025-11-27,Platinum,No,1849.756,adult,2025,11
57,C128222,44.0,male,Chandigarh,Master,46042.0,5.0,4387.01,Clothing,Cash,7.1,3.3,16,0,2025-07-25,Basic,No,877.402,middle_aged,2025,7
58,C126308,39.0,female,Bangalore,Master,0.0,3.0,6034.0,Sports,Debit Card,15.4,4.0,20,0,2026-03-12,Basic,No,2011.3333333333333,adult,2026,3
